epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.4082,1.68051,3.26959,3.0543,1.38137,0.01558,0.4084,0.09077,0.03234,0.01081,0.28929,0.02672,0.00954,1.39289,3.27007,3.36834,1.29435,0.00038583,0.00038583,0.00038583
2,41.3656,1.25808,2.46626,1.94612,1.15423,0.02206,0.60574,0.17509,0.0969,0.01615,0.4449,0.11221,0.05288,1.46682,3.26845,3.08448,1.29057,0.000785865,0.000785865,0.000785865
3,61.053,1.18622,2.21052,1.74373,1.12819,0.39505,0.08952,0.16989,0.0989,0.2984,0.06371,0.11318,0.05187,1.63625,3.30284,2.75842,1.57315,0.00118556,0.00118556,0.00118556
4,81.0003,1.11976,2.05866,1.51744,1.09204,0.46491,0.46904,0.43845,0.28008,0.42086,0.40115,0.35566,0.16267,1.18446,2.27806,1.97486,1.13438,0.0014276,0.0014276,0.0014276
5,99.528,1.04028,1.82935,1.33196,1.059,0.6371,0.70148,0.69418,0.4694,0.5913,0.59855,0.57239,0.28538,1.07805,2.24773,1.41125,1.11505,0.00142652,0.00142652,0.00142652
6,118.874,0.97621,1.72999,1.1963,1.02962,0.7122,0.76145,0.78962,0.57352,0.67177,0.66899,0.69761,0.40302,0.96416,1.80695,1.11756,1.03364,0.00142513,0.00142513,0.00142513
7,138.419,0.93589,1.66437,1.08307,1.01616,0.74725,0.75045,0.82622,0.59683,0.68696,0.68803,0.73458,0.42316,1.00281,1.81003,1.06769,1.07371,0.00142342,0.00142342,0.00142342
8,158.318,0.95779,1.69735,1.04098,1.02544,0.75369,0.78986,0.84745,0.6235,0.66771,0.70857,0.72251,0.41056,0.93074,1.98118,1.1003,1.02987,0.00142141,0.00142141,0.00142141
9,177.077,0.86952,1.53809,0.97902,0.99246,0.79578,0.78091,0.87422,0.64922,0.7065,0.74875,0.77612,0.47254,0.86718,1.55249,1.00278,1.01003,0.00141909,0.00141909,0.00141909
10,196.951,0.89921,1.56419,0.93651,1.00574,0.82851,0.7628,0.866,0.64578,0.7707,0.71078,0.78626,0.49657,0.91403,1.6339,0.97055,1.04375,0.00141647,0.00141647,0.00141647
11,216.118,0.85166,1.41722,0.87978,0.97794,0.85806,0.85435,0.92556,0.72219,0.85895,0.81017,0.87193,0.58271,0.81864,1.41455,0.84668,0.99952,0.00141354,0.00141354,0.00141354
12,236.032,0.82067,1.32839,0.82782,0.97055,0.86042,0.86358,0.9214,0.71154,0.85463,0.81395,0.87777,0.58411,0.84286,1.3783,0.83238,1.00713,0.00141031,0.00141031,0.00141031
13,254.503,0.81989,1.36551,0.82675,0.96962,0.85166,0.85809,0.94427,0.74688,0.82664,0.82087,0.90202,0.58775,0.76095,1.29675,0.81965,0.9709,0.00140678,0.00140678,0.00140678
14,274.155,0.7938,1.33024,0.82177,0.96324,0.86549,0.80922,0.90459,0.71654,0.84819,0.77006,0.85954,0.56288,0.76206,1.3712,0.79998,0.94922,0.00140294,0.00140294,0.00140294
15,293.212,0.80452,1.32099,0.79173,0.95494,0.92016,0.86011,0.94621,0.74104,0.90798,0.83069,0.90778,0.60227,0.79204,1.34867,0.77965,0.96847,0.00139881,0.00139881,0.00139881
16,313.479,0.80151,1.28062,0.77223,0.96056,0.91524,0.87178,0.947,0.75035,0.89164,0.84408,0.91345,0.61094,0.76704,1.23482,0.73856,0.96547,0.00139438,0.00139438,0.00139438
17,331.262,0.77316,1.25462,0.74804,0.94569,0.90901,0.88856,0.95987,0.77229,0.90462,0.85305,0.925,0.63188,0.74824,1.2388,0.69964,0.95673,0.00138965,0.00138965,0.00138965
18,351.958,0.73731,1.15238,0.7094,0.93459,0.90993,0.911,0.95651,0.78028,0.89187,0.87817,0.92654,0.64514,0.72213,1.18173,0.67621,0.9436,0.00138464,0.00138464,0.00138464
19,370.941,0.71974,1.15143,0.66825,0.92736,0.85273,0.82735,0.92611,0.7276,0.82795,0.77686,0.87303,0.59076,0.73272,1.26909,0.77795,0.95678,0.00137933,0.00137933,0.00137933
20,389.873,0.74229,1.17498,0.68732,0.93212,0.88813,0.91124,0.96936,0.79483,0.91338,0.86748,0.94855,0.67491,0.70342,1.09602,0.68842,0.9336,0.00137373,0.00137373,0.00137373
21,409.128,0.71664,1.12757,0.67372,0.93218,0.9192,0.93029,0.97419,0.8048,0.90272,0.89671,0.94746,0.68058,0.68348,0.99793,0.66376,0.9281,0.00136785,0.00136785,0.00136785
22,429.344,0.7134,1.11417,0.65502,0.91467,0.92195,0.89589,0.97085,0.80481,0.90213,0.87529,0.94627,0.65817,0.67525,1.09927,0.63956,0.93169,0.00136168,0.00136168,0.00136168
23,448.103,0.71703,1.13153,0.64911,0.92695,0.94935,0.91869,0.97879,0.81892,0.9448,0.88731,0.95503,0.68656,0.66833,1.03955,0.60654,0.9294,0.00135523,0.00135523,0.00135523
24,467.594,0.72941,1.10562,0.63792,0.93609,0.94634,0.94319,0.98225,0.81658,0.94988,0.91135,0.97012,0.70322,0.67396,1.02416,0.57716,0.92169,0.00134851,0.00134851,0.00134851
25,486.456,0.70101,1.09483,0.6257,0.91562,0.9449,0.94054,0.98359,0.82438,0.95539,0.90465,0.95911,0.7076,0.64881,0.95307,0.57519,0.90392,0.0013415,0.0013415,0.0013415
26,506.075,0.6756,1.0351,0.60386,0.90372,0.91921,0.95241,0.9775,0.81216,0.9095,0.93259,0.96015,0.69323,0.67034,1.0157,0.57395,0.92965,0.00133423,0.00133423,0.00133423
27,524.636,0.69366,1.10018,0.60755,0.91953,0.95329,0.92874,0.98024,0.82802,0.94964,0.90527,0.96247,0.7033,0.62267,0.9473,0.54188,0.89976,0.00132669,0.00132669,0.00132669
28,544.304,0.66534,1.02256,0.59545,0.90187,0.93096,0.94694,0.98357,0.82317,0.93381,0.91484,0.96939,0.70396,0.63331,0.98445,0.5425,0.90525,0.00131888,0.00131888,0.00131888
29,562.783,0.67318,1.06921,0.58396,0.91416,0.94782,0.93134,0.98144,0.82584,0.93522,0.91339,0.96074,0.69511,0.62986,0.98194,0.55639,0.91115,0.00131082,0.00131082,0.00131082
30,582.21,0.68153,1.07593,0.59531,0.91717,0.95607,0.95662,0.98656,0.83495,0.93852,0.93761,0.9688,0.72631,0.61254,0.87756,0.54541,0.90349,0.00130249,0.00130249,0.00130249
31,601.079,0.66813,1.02041,0.56172,0.90724,0.94481,0.93593,0.98061,0.82106,0.93303,0.91387,0.96097,0.70764,0.61954,0.92776,0.57032,0.91868,0.00129391,0.00129391,0.00129391
32,620.363,0.67579,1.03282,0.57045,0.91307,0.96813,0.94094,0.98519,0.83284,0.95447,0.92723,0.96937,0.7212,0.62426,0.86705,0.51417,0.907,0.00128507,0.00128507,0.00128507
33,639.53,0.66024,1.00157,0.55548,0.90948,0.95359,0.95013,0.98404,0.84398,0.94784,0.93397,0.97425,0.731,0.58604,0.87282,0.50939,0.89119,0.00127599,0.00127599,0.00127599
34,658.928,0.66005,1.01562,0.55598,0.90756,0.95543,0.94838,0.9876,0.83587,0.93383,0.93149,0.97192,0.72301,0.6157,0.86689,0.50642,0.90099,0.00126667,0.00126667,0.00126667
35,677.409,0.63954,0.96631,0.55185,0.9006,0.94539,0.95556,0.98801,0.83126,0.93707,0.94628,0.97461,0.71556,0.60978,0.87959,0.52097,0.90115,0.00125711,0.00125711,0.00125711
